Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future, Grant_Existing , Grant_FY , Grant_Future ,GO_Expended,Capital_Year_0, CapitalYear_1 ,Capital_Year_25,Grant_Expended,Grant_Year_0, Grant_Year_1 ,GrantYear_25,External_Funds,Total_Project_Budget
Boston Public Schools,Timilty School Reconfiguration,Upgrade building facilities at the Timilty School to facilitate grade reconfiguration.,Public Facilities Department,To Be Scheduled,Roxbury,0,0,3000000,0,0,0,0,0,0,3000000,0,0,0,0,0,3000000
Boston Public Schools,Technology Infrastructure,Upgrades to technology infrastructure in support of 21st century learning.,Boston Public Schools,Annual Program,Citywide,7000000,0,7000000,0,0,0,605845,1500000,1000000,10894155,0,0,0,0,0,14000000
Boston Public Schools,Allston Elementary School Design,Develop a building program and design for the construction of a new preK-6 school to be located on the site of the Jackson Mann School.,Public Facilities Department,To Be Scheduled,Allston/Brighton,10150000,0,0,0,0,0,0,0,0,10150000,0,0,0,0,0,10150000
Boston Public Schools,Roxbury Elementary School Study,Develop a building program for the design and construction of a new preK-6 school.,Public Facilities Department,To Be Scheduled,Roxbury,150000,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,150000
Boston Public Schools,Security Cameras,Installation of security cameras in multiple schools across the City.,Boston Public Schools,Implementation Underway,Citywide,25000000,0,0,0,0,0,0,5000000,2500000,17500000,0,0,0,0,0,25000000
Boston Public Schools,"ARP 2022: Boilers, Roof, Windows at 4 Schools","Replace boilers at Holland High School of Technology and the Haley School; replace roof at the Henderson Upper School; and replace windows at The English High School, in conjunction with the MSBA Accelerated Repair Program.",Public Facilities Department,In Construction,Multiple Neighborhoods,8889304,0,0,9606871,0,0,6000,2500000,5800000,583304,0,300000,2000000,7306871,0,18496175
Boston Public Schools,Door Alarms Upgrades at Various Schools,General security and safety upgrades to the door alarms at various schools across the City.,Boston Public Schools,To Be Scheduled,Citywide,2100000,0,0,0,0,0,0,0,0,2100000,0,0,0,0,0,2100000
Boston Public Schools,Elevator Upgrades at Various Schools,"General elevator improvements and upgrades at various schools across the district, including size, speed, and safety.",Boston Public Schools,In Design,Citywide,6000000,0,0,0,0,0,0,129650,0,5870350,0,0,0,0,0,6000000
Boston Public Schools,Building Envelope Repairs at Various Schools,General envelope repairs at schools across the district to improve energy efficiency and keep the structure in a state of good repair.,Public Facilities Department,To Be Scheduled,Citywide,6000000,0,0,0,0,0,0,0,0,6000000,0,0,0,0,0,6000000
Boston Public Schools,Pool Upgrades and Repairs at Various Schools,General pool upgrades and repairs at various schools to keep the assets in a state of good repair.,Boston Public Schools,In Construction,Citywide,7000000,3000000,0,0,0,0,0,1384000,3000000,5616000,0,0,0,0,0,10000000
Police Department,Communications Infrastructure Upgrades,Design and implementation of upgrades to the Police radio system.,Police Department,Implementation Underway,Citywide,53794000,0,0,0,0,0,49206901,2423253,1500000,663846,0,0,0,0,0,53794000
Police Department,District B-3 Station Study,Programming study to evaluate space requirements for the District B-3 station.,Public Facilities Department,To Be Scheduled,Mattapan,100000,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,100000
Police Department,Evidence/Archives/Central Supply Study,"Program and siting study for new facility to house evidence management, archives, and central supply functions.",Public Facilities Department,To Be Scheduled,Citywide,75000,0,0,0,0,0,0,0,0,75000,0,0,0,0,0,75000
Police Department,Forensics Unit Facility Upgrades,Renovate interior space at BPD headquarters to redesign and expand the Forensic Unit.,Public Facilities Department,To Be Scheduled,Roxbury,60000,0,0,0,0,0,2160,0,0,57840,0,0,0,0,0,60000
Police Department,Police Facility Signage,Design and installation of upgraded signage at BPD facilities.,Public Facilities Department,In Design,Citywide,1000000,0,0,0,0,0,68241,0,0,931759,0,0,0,0,0,1000000
Police Department,Records Management Replacement,Replace existing records management system.,Police Department,Implementation Underway,Citywide,2850000,0,0,0,0,0,1520254,67572,0,1262174,0,0,0,0,0,2850000
Police Department,Special Operations Unit Facility Upgrades,Study to evaluate relocation of the EOD Unit.,Public Facilities Department,To Be Scheduled,Citywide,100000,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,100000
Police Department,Station Facility Repairs,Capital maintenance at various BPD facilities including exterior repairs.,Police Department,To Be Scheduled,Multiple Neighborhoods,1500000,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,1500000
Police Department,Technology Upgrades at District Stations,Software upgrades to enhance digital security at BPD locations.,Police Department,Implementation Underway,Multiple Neighborhoods,1432000,0,0,0,0,0,0,222043,200000,1009957,0,0,0,0,0,1432000
Police Department,Window and Roof Replacements at 4 Stations,"Replace windows at District stations C6, C11, and E18 and roofs at C11 and E13.",Public Facilities Department,In Design,Multiple Neighborhoods,2700000,0,0,0,0,0,11915,0,250000,2438085,0,0,0,0,0,2700000
Police Department,Computer Aided Dispatch System Upgrade,CAD upgrades to match the RMS system replacement and allow for interoperability between CAD and RMS.,Police Department,Implementation Underway,Citywide,3301000,0,0,0,0,0,0,1000000,1000000,1301000,0,0,0,0,0,3301000
Police Department,District D-4 Station Elevator,General repairs.,Police Department,In Design,South End,30000,600000,0,0,0,0,0,250000,0,380000,0,0,0,0,0,630000
Police Department,Moon Island Gun Range,Renovate the outdoor rifle range training facility on Moon Island including improved drainage.,Public Facilities Department,In Design,Citywide,4000000,0,0,0,0,0,0,100000,425000,3475000,0,0,0,0,0,4000000
Police Department,911 Battery/UPS/PDU Backup,Replace E-9-1-1 battery/UPS/PDU backup system.,Police Department,To Be Scheduled,Citywide,2075000,0,0,0,0,0,0,0,0,2075000,0,0,0,0,0,2075000
Transportation Department,Safe Streets for All,"Design and construct safety improvements at 8 specific intersections across the city, in order to mitigate unsafe travel and improve pedestrian and active transportation safety.",Transportation Department,To Be Scheduled,Multiple Neighborhoods,2500000,0,0,9000000,0,0,0,100000,500000,1900000,0,0,0,9000000,0,11500000
