Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future, Grant_Existing , Grant_FY , Grant_Future ,GO_Expended,Capital_Year_0, CapitalYear_1 ,Capital_Year_25,Grant_Expended,Grant_Year_0, Grant_Year_1 ,GrantYear_25,External_Funds,Total_Project_Budget
Parks and Recreation Department,Savin Hill Park Courts,Design improvements to the existing sport courts that address drainage and accessibility.,Parks and Recreation Department,New Project,Dorchester,0,165000,0,0,0,0,0,0,0,165000,0,0,0,0,0,165000
Property Management Department,City Hall New Elevator,"Design and install a new 4 stop elevator in City Hall, allowing movement between floors 1, 2, 3, M, and 4 to improve accessibility of the interior courtyard and transaction windows.",Public Facilities Department,In Design,Downtown/Government Center,6300000,0,0,0,0,0,0,0,500000,5800000,0,0,0,0,0,6300000
Property Management Department,1010 Massachusetts Avenue,Begin design process for comprehensive renovation of 1010 Mass Ave. and begin initial interior renovations.,Public Facilities Department,New Project,Roxbury,0,5000000,0,0,0,0,0,0,0,5000000,0,0,0,0,0,5000000
Public Works Department,Wood Avenue Safety Improvements,Design and construct safety improvements along Wood Ave. and in the surrounding neighborhoods.,Public Works Department,New Project,Hyde Park,0,2000000,0,0,0,0,0,0,0,2000000,0,0,0,0,0,2000000
Public Works Department,Jones Avenue Neighborhood Improvements,"Reconstruct the existing sidewalks and roadways on parts of Jones Ave., Jacobs Street, Mascot Street, Mountain Ave., Ballou Ave., and Willowwood Street.",Public Works Department,New Project,Dorchester,0,5200000,0,0,0,0,0,0,500000,4700000,0,0,0,0,0,5200000
Transportation Department,Safety Surge: Safer Signals,Make systemic safety improvements to traffic signals at 50 locations across the City. The project will focus on upgrading locations in underserved communities and on improving conditions for all roadway users along the City’s High-Crash Network.,Transportation Department,New Project,Citywide,0,3600000,0,0,14400000,0,0,0,31276,3568724,0,0,125105,14274895,0,18000000
Mayor's Office of Housing,Elevator Modernization,"Modernization of elevators at public housing sites to promote accessibility, ensure redundancy, and reduce vulnerability to outages, heat, or environmental hazards.",Boston Housing Authority,New Project,Multiple Neighborhoods,0,4000000,0,0,0,0,0,0,500000,3500000,0,0,0,0,0,4000000
Public Works Department,Central Maintenance Facility Roof Replacement,Replace the roof at the central maintenance facility at 400 Frontage Road.,Public Facilities Department,New Project,South Boston,0,5000000,0,0,0,0,0,0,250000,4750000,0,0,0,0,0,5000000
Police Department,Server Room Backup Cooling,Install emergency backup cooling systems to headquarters server room.,Police Department,New Project,Roxbury,0,1000000,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000
Boston Public Schools,Bathroom Improvements at Various Schools,Renovate bathrooms in schools across the district.,Boston Public Schools,New Project,Multiple Neighborhoods,5000000,21000000,0,0,0,0,0,0,5000000,21000000,0,0,0,0,0,26000000
Public Works Department,ADA Ramps Pedestrian Ramps FY25-27,"Install or reconstruct pedestrian ramps to conform to current ADA and AAB regulations for the 2025, 2026, and 2027 construction seasons.",Public Works Department,Annual Program,Citywide,11900000,0,8100000,3100000,11900000,25000000,0,0,4200000,15800000,0,0,15000000,25000000,0,60000000
Public Works Department,Sidewalk Reconstruction FY25-27,"Program for sidewalk reconstruction and repair including responses to 311 requests as well as planned reconstruction of brick and concrete sidewalks for the 2025, 2026, and 2027 construction seasons.",Public Works Department,Annual Program,Citywide,0,4650000,2250000,0,8500000,19600000,0,0,2600000,4300000,0,0,8500000,19600000,0,35000000
Public Works Department,Roadway Reconstruction and Resurfacing FY25-27,Maintain citywide streets with resurfacing and reconstruction efforts.,Public Works Department,Annual Program,Citywide,0,20000000,10000000,0,0,40500000,0,0,3000000,27000000,0,0,13500000,27000000,0,70500000
Boston Public Schools,Blackstone School Pool,Renovate the pool at the Blackstone School.,Public Facilities Department,New Project,South End,500000,1500000,0,0,0,0,0,0,200000,1800000,0,0,0,0,0,2000000
Boston Public Schools,Holland School Pool,Renovate the pool at the Holland School.,Public Facilities Department,New Project,Dorchester,500000,1500000,0,0,0,0,0,0,200000,1800000,0,0,0,0,0,2000000
Environment Department,Coastal Resilience Reserve,"Funding reserve that will be used to provide matching funds as needed for state, federal, or other grant programs and to support budget increases of coastal resilience projects that may be necessary.",Environment Department,To Be Scheduled,Multiple Neighborhoods,0,0,75000000,0,0,0,0,0,0,75000000,0,0,0,0,0,75000000
Boston Public Schools,School Yard Improvements,"Design and construct school yard improvements including new play structures, safety surfacing, and landscaping.",Boston Public Schools,Annual Program,Citywide,750000,2250000,3000000,0,0,0,0,0,750000,5250000,0,0,0,0,0,6000000
Boston Public Schools,Security and PA Upgrades,"Security-related improvements at various schools, including installing or upgrading PA and alarm systems.",Boston Public Schools,Annual Program,Citywide,0,5000000,0,0,0,0,0,0,1000000,4000000,0,0,0,0,0,5000000
Public Works Department,Bridge Repairs,Ongoing repairs at various City-owned bridges as needed to bring the portfolio of 40 bridges to a state of good repair. This includes proactive maintenance and annual maintenance.,Public Works Department,Annual Program,Citywide,11470000,28530000,0,0,0,0,0,0,0,40000000,0,0,0,0,0,40000000
Public Works Department,Transit Project-Related Infrastructure Improvements,"Design and include enhancements to MBTA driven project on city streets, including green infrastructure, bike lanes, and sidewalk enhancements.",Public Works Department,New Project,Citywide,0,10000000,0,0,0,0,0,0,0,10000000,0,0,0,0,0,10000000
Public Works Department,Lower Roxbury Neighborhood Safety Improvements,"Roadway safety and crossing improvements on Harrison Ave., Washington Street, Shawmut Ave., Tremont Street, and Northampton Street. Install bike lanes on Northampton Street and Shawmut Ave.",Public Works Department,New Project,Roxbury,0,0,0,5000000,0,0,0,0,0,0,0,0,2500000,2500000,0,5000000
Public Works Department,Pleasant Street Neighborhood Safety Improvements,Roadway safety improvements on Pleasant Street from Sawyer Ave. to the intersection with East Cottage Street.,Public Works Department,New Project,Dorchester,0,0,0,2500000,0,0,0,0,0,0,0,0,1500000,1000000,0,2500000
Boston Public Schools,Renew Boston Trust Phase 3C,Energy system improvements at Otis School and geothermal test drilling at JFK School.,Public Facilities Department,In Design,Multiple Neighborhoods,23710000,0,0,0,0,0,0,250000,5000000,18460000,0,0,0,0,0,23710000
Transportation Department,Back Bay Bicycle Network,"Creating a safe and connected bicycle network in the Back Bay considering improvements on but not limited to Berkeley Street, Beacon Street, Exeter Street, Dartmouth Street, and Arlington Street.",Transportation Department,In Design,Back Bay,0,0,0,0,2000000,0,0,0,0,0,0,0,1000000,1000000,0,2000000
Transportation Department,Albany St Bike Accommodations,Construct bike facilities on Albany Street from Melnea Cass Blvd. to Frontage Road.,Transportation Department,In Construction,South End,0,0,0,100000,0,0,0,0,0,0,0,0,100000,0,0,100000
Transportation Department,Charles Street North,"Design for a reconstructed Charles Street between Beacon Street and Cambridge Street, including bike lanes and widened sidewalks.",Transportation Department,Study Underway,Beacon Hill,0,0,0,750000,0,0,0,0,0,0,0,0,250000,500000,0,750000
Parks and Recreation Department,Franklin Park Shattuck Tennis Courts,Design for increased tennis court capacity and other improvements at the Shattuck Tennis Courts and Grove.,Parks and Recreation Department,In Design,Multiple Neighborhoods,0,0,0,200000,0,0,0,0,0,0,0,0,200000,0,0,200000
