DATE,BOXRHTSA
1987-01-01,69.993299471524
1987-02-01,70.411783493887
1987-03-01,70.73786725589599
1987-04-01,70.93852871291399
1987-05-01,71.297541038655
1987-06-01,71.583623996181
1987-07-01,71.893044609317
1987-08-01,72.482106214879
1987-09-01,72.97403549488901
1987-10-01,73.458245208362
1987-11-01,73.80337467785499
1987-12-01,73.814960146202
1988-01-01,73.81811192084601
1988-02-01,73.755263951923
1988-03-01,73.944553168156
1988-04-01,74.133178583194
1988-05-01,74.320040582132
1988-06-01,74.089838104447
1988-07-01,74.088253478778
1988-08-01,73.986672446866
1988-09-01,73.96581456582
1988-10-01,73.765086803409
1988-11-01,73.807868453759
1988-12-01,73.472065092611
1989-01-01,73.29159471115099
1989-02-01,73.629550271043
1989-03-01,73.74594560006
1989-04-01,73.87250430516599
1989-05-01,73.624523407811
1989-06-01,73.280751982898
1989-07-01,72.900471458035
1989-08-01,72.114623183475
1989-09-01,71.45704632664699
1989-10-01,71.07157017545201
1989-11-01,71.49329167878
1989-12-01,71.77561969749699
1990-01-01,71.83796921342599
1990-02-01,71.438664748706
1990-03-01,70.445858481228
1990-04-01,69.83637564574799
1990-05-01,69.158977026667
1990-06-01,68.626852262568
1990-07-01,68.250932272966
1990-08-01,67.676597222591
1990-09-01,67.26380508147801
1990-10-01,66.518846360355
1990-11-01,65.434944162058
1990-12-01,64.66554239636599
1991-01-01,63.98038691149
1991-02-01,63.605929366509
1991-03-01,63.157460103564
1991-04-01,62.759271998106
1991-05-01,62.666501883823
1991-06-01,62.794538652955
1991-07-01,62.881983925681
1991-08-01,63.325328975905
1991-09-01,63.400304389274
1991-10-01,63.383395962594
1991-11-01,63.180676739225
1991-12-01,63.278085771886
1992-01-01,62.762128539205
1992-02-01,62.735349553424996
1992-03-01,63.324406363414
1992-04-01,64.170223546629
1992-05-01,64.146398253406
1992-06-01,63.915412028781994
1992-07-01,63.570703763943996
1992-08-01,63.706024892924994
1992-09-01,63.744922612892
1992-10-01,64.116909846296
1992-11-01,64.32003961977199
1992-12-01,64.700185421657
1993-01-01,64.992635695711
1993-02-01,65.051849289122
1993-03-01,65.26833122684
1993-04-01,65.204836555085
1993-05-01,65.33609892081101
1993-06-01,65.592587114666
1993-07-01,66.092808737068
1993-08-01,66.315236321749
1993-09-01,66.483650505445
1993-10-01,66.379297129481
1993-11-01,67.00451031355401
1993-12-01,67.491757814233
1994-01-01,67.97070444294
1994-02-01,68.169326659227
1994-03-01,68.570611855322
1994-04-01,69.199502316041
1994-05-01,69.11354935312299
1994-06-01,69.378599342338
1994-07-01,69.33339116129599
1994-08-01,69.4436970896
1994-09-01,69.840292799008
1994-10-01,70.12572367213299
1994-11-01,70.687766689532
1994-12-01,70.600528734357
1995-01-01,70.823994941902
1995-02-01,71.039035663389
1995-03-01,71.238369999151
1995-04-01,70.760367385901
1995-05-01,70.928092533252
1995-06-01,71.19361887362
1995-07-01,71.51997242850099
1995-08-01,71.738307529186
1995-09-01,71.778839399586
1995-10-01,71.705514384511
1995-11-01,71.75718214363499
1995-12-01,71.72835488224
1996-01-01,72.240231781381
1996-02-01,72.596185671892
1996-03-01,73.256411489367
1996-04-01,73.303343579493
1996-05-01,73.29569564341699
1996-06-01,73.657695023231
1996-07-01,73.962919522236
1996-08-01,74.625416313657
1996-09-01,74.66154187451899
1996-10-01,75.088832167212
1996-11-01,75.29852665163
1996-12-01,75.937065390307
1997-01-01,76.254298901547
1997-02-01,76.48835374885701
1997-03-01,77.26074972615301
1997-04-01,77.766209733606
1997-05-01,78.05161313859
1997-06-01,78.242095877373
1997-07-01,78.612441878355
1997-08-01,79.012874699231
1997-09-01,79.439351694723
1997-10-01,80.005811614586
1997-11-01,80.66861947973601
1997-12-01,81.350947511393
1998-01-01,81.779652318701
1998-02-01,82.413059509722
1998-03-01,83.006909401398
1998-04-01,83.629830711484
1998-05-01,84.450969812078
1998-06-01,85.347480423779
1998-07-01,86.177091851669
1998-08-01,86.913152794883
1998-09-01,87.822539937253
1998-10-01,88.177814351889
1998-11-01,88.483764791075
1998-12-01,89.142015361245
1999-01-01,90.60172060499399
1999-02-01,92.175185032555
1999-03-01,92.57664227979099
1999-04-01,93.10036261532301
1999-05-01,94.186422711169
1999-06-01,94.959415165785
1999-07-01,95.82417865856199
1999-08-01,96.351920310581
1999-09-01,97.31074135722601
1999-10-01,98.346019063294
1999-11-01,99.474840942376
1999-12-01,100.140215220764
2000-01-01,101.049723710553
2000-02-01,102.12472904171801
2000-03-01,102.92292137969
2000-04-01,104.923305740809
2000-05-01,106.554377171466
2000-06-01,108.44666516590901
2000-07-01,108.96610594558399
2000-08-01,110.05310143898399
2000-09-01,110.94373432846201
2000-10-01,112.654404469923
2000-11-01,114.729040165933
2000-12-01,117.252218640607
2001-01-01,119.30706824309799
2001-02-01,120.72224773586001
2001-03-01,121.59236521953999
2001-04-01,122.31357675644699
2001-05-01,121.88882940846001
2001-06-01,123.157457556571
2001-07-01,124.38432447600401
2001-08-01,125.430346692138
2001-09-01,126.185662805774
2001-10-01,126.590060702686
2001-11-01,127.50669957857401
2001-12-01,126.955231712193
2002-01-01,126.96624892359101
2002-02-01,127.32649151712201
2002-03-01,128.480779081678
2002-04-01,129.82702617010798
2002-05-01,131.826039992686
2002-06-01,133.52136349838003
2002-07-01,134.772004644969
2002-08-01,136.23597370675301
2002-09-01,137.803586205855
2002-10-01,139.044076099176
2002-11-01,140.322714117392
2002-12-01,140.018150346655
2003-01-01,140.587572257541
2003-02-01,141.307280394071
2003-03-01,142.544683502633
